South Korea, Period fertility rates by calendar year, age and birth order (Lexis squares, age in completed years (ACY))
Last modified: 21/01/2025
Year    Age        ASFR       ASFR1       ASFR2       ASFR3       ASFR4      ASFR5p
2000     12-    0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
2000     13     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
2000     14     0.00003     0.00003     0.00000     0.00000     0.00000     0.00000
2000     15     0.00017     0.00017     0.00000     0.00000     0.00000     0.00000
2000     16     0.00061     0.00057     0.00003     0.00000     0.00000     0.00000
2000     17     0.00177     0.00162     0.00014     0.00001     0.00000     0.00000
2000     18     0.00318     0.00288     0.00028     0.00001     0.00000     0.00000
2000     19     0.00637     0.00562     0.00071     0.00004     0.00000     0.00000
2000     20     0.01195     0.01018     0.00169     0.00008     0.00000     0.00000
2000     21     0.01912     0.01540     0.00351     0.00020     0.00000     0.00000
2000     22     0.03236     0.02460     0.00732     0.00042     0.00002     0.00000
2000     23     0.04906     0.03637     0.01171     0.00091     0.00006     0.00001
2000     24     0.08563     0.05909     0.02427     0.00215     0.00011     0.00002
2000     25     0.10824     0.07375     0.03168     0.00264     0.00016     0.00001
2000     26     0.14373     0.09251     0.04690     0.00406     0.00022     0.00004
2000     27     0.16706     0.09682     0.06387     0.00602     0.00032     0.00004
2000     28     0.16999     0.08515     0.07587     0.00854     0.00041     0.00001
2000     29     0.16120     0.06515     0.08382     0.01158     0.00059     0.00006
2000     30     0.13167     0.04286     0.07426     0.01368     0.00079     0.00008
2000     31     0.10400     0.02813     0.05912     0.01566     0.00096     0.00013
2000     32     0.07740     0.01854     0.04192     0.01562     0.00115     0.00017
2000     33     0.05847     0.01354     0.02937     0.01411     0.00129     0.00017
2000     34     0.04361     0.01002     0.01965     0.01235     0.00136     0.00022
2000     35     0.03057     0.00724     0.01281     0.00917     0.00114     0.00021
2000     36     0.02290     0.00520     0.00933     0.00706     0.00106     0.00024
2000     37     0.01789     0.00453     0.00656     0.00565     0.00092     0.00023
2000     38     0.01103     0.00280     0.00415     0.00326     0.00062     0.00019
2000     39     0.00766     0.00219     0.00257     0.00220     0.00055     0.00015
2000     40     0.00531     0.00157     0.00177     0.00144     0.00039     0.00013
2000     41     0.00335     0.00108     0.00102     0.00091     0.00025     0.00009
2000     42     0.00225     0.00081     0.00062     0.00053     0.00018     0.00010
2000     43     0.00130     0.00050     0.00035     0.00029     0.00011     0.00005
2000     44     0.00081     0.00029     0.00023     0.00017     0.00008     0.00004
2000     45     0.00046     0.00018     0.00008     0.00011     0.00004     0.00003
2000     46     0.00027     0.00007     0.00005     0.00009     0.00003     0.00003
2000     47     0.00017     0.00008     0.00003     0.00001     0.00002     0.00002
2000     48     0.00012     0.00006     0.00002     0.00003     0.00000     0.00001
2000     49     0.00011     0.00003     0.00002     0.00002     0.00003     0.00001
2000     50     0.00013     0.00003     0.00002     0.00003     0.00002     0.00002
2000     51     0.00009     0.00002     0.00002     0.00003     0.00001     0.00001
2000     52     0.00004     0.00001     0.00001     0.00001     0.00000     0.00000
2000     53     0.00001     0.00000     0.00000     0.00000     0.00000     0.00000
2000     54     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
2000     55+    0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
2001     12-    0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
2001     13     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
2001     14     0.00002     0.00002     0.00000     0.00000     0.00000     0.00000
